Script,Type,Message,Item
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/com.microsoft.azure.management.compute.implementation._virtual_machine_extension_image_versions_impl
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/com.microsoft.azure.management.compute.implementation._virtual_machine_scale_set_extension_impl
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/com.microsoft.azure.management.compute.implementation._virtual_machine_scale_set_impl
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/com.microsoft.azure.storage.blob
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/activedirectory
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/appinsights
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/appservice
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/batch
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/batchai
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/cdn
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/cosmosdb
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/datalake
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/datalakeanalytics
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/dns
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/eventgrid
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/eventhub
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/hdinsight
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/iot
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/keyvault
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/mysql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/network
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/partnercenter
