Docset,File,URL,Python,Term_Total,MSAuthor,Author,Manager,MSDate,MSService,MSTopic,H1,Title,Description,MinutesToRead,LinksInIntroduction,CodeBlocksPython,CodeBlocksCLI
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\machine-learning\service\quickstart-create-workspace-with-python.md,http://docs.microsoft.com/azure/machine-learning/service/quickstart-create-workspace-with-python,37,37,sgilley,sdgilley,,1/22/2019,machine-learning,quickstart,"Quickstart: Use the Python SDK to get started with Azure Machine Learning
",'Quickstart: Get started in Python',"Get started with Azure Machine Learning service in Python. Use the Python SDK to create a workspace, which is the foundational block in the cloud that you use to experiment, train, and deploy machine learning models.",2,3,3,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\machine-learning\service\quickstart-get-started.md,http://docs.microsoft.com/azure/machine-learning/service/quickstart-get-started,3,3,haining,hning86,,1/18/2019,machine-learning,quickstart,"Quickstart: Use the Azure portal to get started with Azure Machine Learning
","""Quickstart through Azure portal""","Get started with Azure Machine Learning service. Use Azure portal to create a workspace, which is the foundational block in the cloud that you use to experiment, train, and deploy machine learning models.",4,3,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\mysql\connect-python.md,http://docs.microsoft.com/azure/mysql/connect-python,75,75,jasonh,jasonwhowell,,2/28/2018,mysql,quickstart,"Azure Database for MySQL: Use Python to connect and query data
",'Connect to Azure Database for MySQL from Python',This quickstart provides several Python code samples you can use to connect and query data from Azure Database for MySQL.,7,1,4,2
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\postgresql\connect-python.md,http://docs.microsoft.com/azure/postgresql/connect-python,27,27,raagyema,rachel-msft,,2/28/2018,postgresql,quickstart,"Azure Database for PostgreSQL: Use Python to connect and query data
",Connect to Azure Database for PostgreSQL from Python,This quickstart provides a Python code sample that you can use to connect and query data from Azure Database for PostgreSQL.,5,1,4,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\sql-database\sql-database-connect-query-python.md,http://docs.microsoft.com/azure/sql-database/sql-database-connect-query-python,31,31,carlrab,CarlRabeler,craigg,2/12/2019,sql-database,quickstart,"Quickstart: Use Python to query an Azure SQL database
",Use Python to query Azure SQL Database | Microsoft Docs,This topic shows you how to use Python to create a program that connects to an Azure SQL database and query it using Transact-SQL statements.,2,4,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\sql-database\sql-database-connect-query-ssms.md,http://docs.microsoft.com/azure/sql-database/sql-database-connect-query-ssms,3,3,carlrab,CarlRabeler,craigg,2/12/2019,sql-database,quickstart,"Quickstart: Use SQL Server Management Studio to connect and query an Azure SQL database
",'SSMS: Connect and query data in an Azure SQL database | Microsoft Docs',Learn how to connect to SQL Database on Azure by using SQL Server Management Studio (SSMS). Then run Transact-SQL (T-SQL) statements to query and edit data.,3,1,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\sql-database\sql-database-connect-query.md,http://docs.microsoft.com/azure/sql-database/sql-database-connect-query,10,10,carlrab,CarlRabeler,craigg,12/18/2018,sql-database,quickstart,"Quickstarts: Azure SQL Database connect and query
",Azure SQL Database Connect and Query quickstarts | Microsoft Docs,Azure SQL Database quickstarts showing you how to connect to and query an Azure SQL database.,4,0,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\storage\blobs\storage-quickstart-blobs-python.md,http://docs.microsoft.com/azure/storage/blobs/storage-quickstart-blobs-python,30,30,tamram,tamram,,12/14/2018,storage,quickstart,"Quickstart: Upload, download, and list blobs with Python
",Azure Quickstart - Create a blob in object storage with Python | Microsoft Docs,"In this quickstart, you create a storage account and a container in object (Blob) storage. Then you use the storage client library for Python to upload a blob to Azure Storage, download a blob, and list the blobs in a container.",6,0,6,1
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\virtual-machine-scale-sets\quick-create-template-linux.md,http://docs.microsoft.com/azure/virtual-machine-scale-sets/quick-create-template-linux,6,6,cynthn,cynthn,jeconnoc,3/27/2018,virtual-machine-scale-sets,quickstart,"Quickstart: Create a Linux virtual machine scale set with an Azure template
",Quickstart - Create a Linux virtual machine scale set with an Azure template | Microsoft Docs,Learn how to quickly create a Linux virtual machine scale with an Azure Resource Manager template that deploys a sample app and configures autoscale rules,5,1,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\virtual-machines\linux\ansible-install-configure.md,http://docs.microsoft.com/azure/virtual-machines/linux/ansible-install-configure,13,13,tarcher,tomarchermsft,jeconnoc,8/21/2018,ansible,quickstart,"Install Ansible on Azure virtual machines
",Install Ansible on Azure virtual machines,"Learn how to install and configure Ansible for managing Azure resources on Ubuntu, CentOS, and SLES",4,1,0,9
